adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,303.91,299.5,04-JUN-19,28-MAY-19,307.35,,,,,15258.0,,,,,9.2,307.35,01-NOV-19,11-FEB-19,12802.53,Tata Global Beverages Limited,Listed,0,0,0,308.7,298.7,1213708.0,45.85,24-MAY-19,5.0,1.0,322.5,,False,INE192A01025,308.7,177.05,N,,,301.0,3.07,299.5,No Band,269.55,329.45,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE,2647248.0,,27-Nov-2019 00:00:00,7.09,,,,,,,,,,,EQ,,TATAGLOBAL,15258.0,,8045.25,2647248.0,7.5
,12.5,303.91,299.5,04-JUN-19,28-MAY-19,307.35,,,,,15258.0,,,,,9.2,307.35,01-NOV-19,11-FEB-19,12802.53,Tata Global Beverages Limited,Listed,0,0,0,308.7,298.7,1213708.0,45.85,24-MAY-19,5.0,1.0,322.5,,False,INE192A01025,308.7,177.05,N,,,301.0,3.07,299.5,No Band,276.65,338.05,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE,2647248.0,,27-Nov-2019 00:00:00,7.09,,,,,,,,,,,EQ,,TATAGLOBAL,15258.0,,8045.25,2647248.0,7.5
,12.5,303.91,299.5,04-JUN-19,28-MAY-19,307.35,,,,,15258.0,,,,,9.2,307.35,01-NOV-19,11-FEB-19,12802.53,Tata Global Beverages Limited,Listed,0,0,0,308.7,298.7,1213708.0,45.85,24-MAY-19,5.0,1.0,322.5,,False,INE192A01025,308.7,177.05,N,,,301.0,3.07,299.5,No Band,276.65,338.05,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE,2647248.0,,27-Nov-2019 00:00:00,7.09,,,,,,,,,,,EQ,,TATAGLOBAL,15258.0,,8045.25,2647248.0,7.5
,12.5,303.91,299.5,04-JUN-19,28-MAY-19,307.35,,,,,15258.0,,,,,9.2,307.35,01-NOV-19,11-FEB-19,12802.53,Tata Global Beverages Limited,Listed,0,0,0,308.7,298.7,1213708.0,45.85,24-MAY-19,5.0,1.0,322.5,,False,INE192A01025,308.7,177.05,N,,,301.0,3.07,299.5,No Band,276.65,338.05,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE,2647248.0,,27-Nov-2019 00:00:00,7.09,,,,,,,,,,,EQ,,TATAGLOBAL,15258.0,,8045.25,2647248.0,7.5
,12.5,303.91,299.5,04-JUN-19,28-MAY-19,307.35,,,,,15258.0,,,,,9.2,307.35,01-NOV-19,11-FEB-19,12802.53,Tata Global Beverages Limited,Listed,0,0,0,308.7,298.7,1213708.0,45.85,24-MAY-19,5.0,1.0,322.5,,False,INE192A01025,308.7,177.05,N,,,301.0,3.07,299.5,No Band,276.65,338.05,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE,2647248.0,,27-Nov-2019 00:00:00,7.09,,,,,,,,,,,EQ,,TATAGLOBAL,15258.0,,8045.25,2647248.0,7.5
,12.5,303.91,299.5,04-JUN-19,28-MAY-19,307.35,,,,,15258.0,,,,,9.2,307.35,01-NOV-19,11-FEB-19,12802.53,Tata Global Beverages Limited,Listed,0,0,0,308.7,298.7,1213708.0,45.85,24-MAY-19,5.0,1.0,322.5,,False,INE192A01025,308.7,177.05,N,,,301.0,3.07,299.5,No Band,276.65,338.05,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE,2647248.0,,27-Nov-2019 00:00:00,7.09,,,,,,,,,,,EQ,,TATAGLOBAL,15258.0,,8045.25,2647248.0,7.5
,12.5,303.91,307.35,04-JUN-19,28-MAY-19,307.35,,,,,15258.0,,,,,1.35,307.35,01-NOV-19,11-FEB-19,12802.53,Tata Global Beverages Limited,Listed,0,0,0,308.7,298.7,1213708.0,45.85,24-MAY-19,5.0,1.0,322.5,,False,INE192A01025,308.7,177.05,N,,,301.0,0.44,299.5,No Band,276.65,338.05,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE,2647248.0,,27-Nov-2019 00:00:00,7.09,,,,,,,,,,,EQ,,TATAGLOBAL,15258.0,,8045.25,2647248.0,7.5
,12.5,303.91,307.35,04-JUN-19,28-MAY-19,307.35,,,,,15258.0,,,,,1.35,307.35,01-NOV-19,11-FEB-19,12802.53,Tata Global Beverages Limited,Listed,0,0,0,308.7,298.7,1213708.0,45.85,24-MAY-19,5.0,1.0,322.5,,False,INE192A01025,308.7,177.05,N,,,301.0,0.44,299.5,No Band,276.65,338.05,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE,2647248.0,,27-Nov-2019 00:00:00,7.09,,,,,,,,,,,EQ,,TATAGLOBAL,15258.0,,8045.25,2647248.0,7.5
,12.5,308.76,307.35,04-JUN-19,28-MAY-19,308.8,308.75,308.7,308.65,308.6,418.0,13.0,1087.0,414.0,719.0,1.5,0.0,01-NOV-19,11-FEB-19,12802.53,Tata Global Beverages Limited,Listed,0,0,0,309.4,307.5,1213708.0,45.85,24-MAY-19,5.0,1.0,322.5,,False,INE192A01025,308.85,177.05,N,,,308.1,0.49,307.35,No Band,276.65,338.05,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE,2647248.0,,27-Nov-2019 00:00:00,7.09,309.05,309.1,309.15,309.2,309.25,676.0,2852.0,604.0,5425.0,827.0,EQ,,TATAGLOBAL,238299.0,289193.0,249.47,80799.0,7.5
,12.5,308.63,307.35,04-JUN-19,28-MAY-19,309.05,309.0,308.95,308.9,308.85,186.0,20.0,585.0,1190.0,869.0,1.75,0.0,01-NOV-19,11-FEB-19,12802.53,Tata Global Beverages Limited,Listed,0,0,0,309.4,307.5,1213708.0,45.85,24-MAY-19,5.0,1.0,322.5,,False,INE192A01025,309.1,177.05,N,,,308.1,0.57,307.35,No Band,276.65,338.05,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE,2647248.0,,27-Nov-2019 00:00:00,7.09,309.1,309.2,309.25,309.3,309.35,1673.0,617.0,1558.0,1192.0,3854.0,EQ,,TATAGLOBAL,296057.0,358492.0,537.74,174233.0,7.5
