adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,20.32,75.08,74.0,09-AUG-16,20-JUL-16,,,,,,,,,,,0.15,74.2,18-APR-19,04-SEP-19,3773.09,Tata Motors Limited,Listed,0,0,0,76.5,74.0,1104936.0,21.95,18-JUL-16,5.97,2.0,116.25,,False,IN9155A01020,74.15,48.3,N,,,74.45,0.2,74.0,No Band,66.6,81.4,DIVIDEND - RE 0.30/- PER SHARE,5034574.0,,27-Nov-2019 00:00:00,14.35,74.2,,,,,42.0,,,,,EQ,,TATAMTRDVR,,42.0,3779.96,5034574.0,14.35
,20.32,75.08,74.0,09-AUG-16,20-JUL-16,,,,,,,,,,,0.15,74.2,18-APR-19,04-SEP-19,3773.09,Tata Motors Limited,Listed,0,0,0,76.5,74.0,1104936.0,21.95,18-JUL-16,5.97,2.0,116.25,,False,IN9155A01020,74.15,48.3,N,,,74.45,0.2,74.0,No Band,66.6,81.4,DIVIDEND - RE 0.30/- PER SHARE,5034574.0,,27-Nov-2019 00:00:00,14.35,74.2,,,,,42.0,,,,,EQ,,TATAMTRDVR,,42.0,3779.96,5034574.0,14.35
,20.32,75.08,74.0,09-AUG-16,20-JUL-16,,,,,,,,,,,0.15,74.2,18-APR-19,04-SEP-19,3773.09,Tata Motors Limited,Listed,0,0,0,76.5,74.0,1104936.0,21.95,18-JUL-16,5.97,2.0,116.25,,False,IN9155A01020,74.15,48.3,N,,,74.45,0.2,74.0,No Band,66.8,81.6,DIVIDEND - RE 0.30/- PER SHARE,5034574.0,,27-Nov-2019 00:00:00,14.35,74.2,,,,,42.0,,,,,EQ,,TATAMTRDVR,,42.0,3779.96,5034574.0,14.35
,20.32,75.08,74.0,09-AUG-16,20-JUL-16,,,,,,,,,,,0.15,74.2,18-APR-19,04-SEP-19,3773.09,Tata Motors Limited,Listed,0,0,0,76.5,74.0,1104936.0,21.95,18-JUL-16,5.97,2.0,116.25,,False,IN9155A01020,74.15,48.3,N,,,74.45,0.2,74.0,No Band,66.8,81.6,DIVIDEND - RE 0.30/- PER SHARE,5034574.0,,27-Nov-2019 00:00:00,14.35,74.2,,,,,42.0,,,,,EQ,,TATAMTRDVR,,42.0,3779.96,5034574.0,14.35
,20.32,75.08,74.0,09-AUG-16,20-JUL-16,,,,,,,,,,,0.15,74.2,18-APR-19,04-SEP-19,3773.09,Tata Motors Limited,Listed,0,0,0,76.5,74.0,1104936.0,21.95,18-JUL-16,5.97,2.0,116.25,,False,IN9155A01020,74.15,48.3,N,,,74.45,0.2,74.0,No Band,66.8,81.6,DIVIDEND - RE 0.30/- PER SHARE,5034574.0,,27-Nov-2019 00:00:00,14.35,74.2,,,,,42.0,,,,,EQ,,TATAMTRDVR,,42.0,3779.96,5034574.0,14.35
,20.32,75.08,74.0,09-AUG-16,20-JUL-16,,,,,,,,,,,0.15,74.2,18-APR-19,04-SEP-19,3773.09,Tata Motors Limited,Listed,0,0,0,76.5,74.0,1104936.0,21.95,18-JUL-16,5.97,2.0,116.25,,False,IN9155A01020,74.15,48.3,N,,,74.45,0.2,74.0,No Band,66.8,81.6,DIVIDEND - RE 0.30/- PER SHARE,5034574.0,,27-Nov-2019 00:00:00,14.35,74.2,,,,,42.0,,,,,EQ,,TATAMTRDVR,,42.0,3779.96,5034574.0,14.35
,20.32,75.08,74.0,09-AUG-16,20-JUL-16,,,,,,,,,,,0.15,74.2,18-APR-19,04-SEP-19,3773.09,Tata Motors Limited,Listed,0,0,0,76.5,74.0,1104936.0,21.95,18-JUL-16,5.97,2.0,116.25,,False,IN9155A01020,74.15,48.3,N,,,74.45,0.2,74.0,No Band,66.8,81.6,DIVIDEND - RE 0.30/- PER SHARE,5034574.0,,27-Nov-2019 00:00:00,14.35,74.2,,,,,42.0,,,,,EQ,,TATAMTRDVR,,42.0,3779.96,5034574.0,14.35
,20.32,75.08,74.0,09-AUG-16,20-JUL-16,,,,,,,,,,,0.15,74.2,18-APR-19,04-SEP-19,3773.09,Tata Motors Limited,Listed,0,0,0,76.5,74.0,1104936.0,21.95,18-JUL-16,5.97,2.0,116.25,,False,IN9155A01020,74.15,48.3,N,,,74.45,0.2,74.0,No Band,66.8,81.6,DIVIDEND - RE 0.30/- PER SHARE,5034574.0,,27-Nov-2019 00:00:00,14.35,74.2,,,,,42.0,,,,,EQ,,TATAMTRDVR,,42.0,3779.96,5034574.0,14.35
,20.32,73.82,74.2,09-AUG-16,20-JUL-16,73.85,73.8,73.75,73.7,73.65,1943.0,5741.0,7167.0,2815.0,2000.0,-0.30,0.0,18-APR-19,04-SEP-19,3773.09,Tata Motors Limited,Listed,0,0,0,74.0,73.6,1104936.0,21.95,18-JUL-16,5.97,2.0,116.25,,False,IN9155A01020,73.9,48.3,N,,,73.6,-0.40,74.2,No Band,66.8,81.6,DIVIDEND - RE 0.30/- PER SHARE,5034574.0,,27-Nov-2019 00:00:00,14.35,73.95,74.0,74.05,74.1,74.15,1878.0,37493.0,1644.0,11312.0,3095.0,EQ,,TATAMTRDVR,374894.0,444111.0,31.99,43335.0,14.35
,20.32,73.82,74.2,09-AUG-16,20-JUL-16,73.6,73.55,73.5,73.45,73.4,3015.0,1988.0,13321.0,12305.0,7184.0,-0.55,0.0,18-APR-19,04-SEP-19,3773.09,Tata Motors Limited,Listed,0,0,0,74.0,73.6,1104936.0,21.95,18-JUL-16,5.97,2.0,116.25,,False,IN9155A01020,73.65,48.3,N,,,73.6,-0.74,74.2,No Band,66.8,81.6,DIVIDEND - RE 0.30/- PER SHARE,5034574.0,,27-Nov-2019 00:00:00,14.35,73.7,73.75,73.8,73.85,73.9,4839.0,7166.0,15928.0,6637.0,13652.0,EQ,,TATAMTRDVR,470386.0,483827.0,70.08,94930.0,14.35
