adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,2060.49,2046.65,,,,,,,,,,,,,8.35,2054.3,03-SEP-19,26-NOV-18,215838.67,Tata Consultancy Services Limited,Listed,0,0,0,2071.7,2046.55,2020463.0,69.49,17-OCT-19,5.0,1.0,2296.2,,False,INE467B01029,2055.0,1784.5,N,,,2052.0,0.41,2046.65,No Band,1842.0,2251.3,INTERIM DIVIDEND - RS 5 PER SHARE AND SPECIAL DIVIDEND - RS 40 PER SHARE,2907521.0,18-OCT-19,27-Nov-2019 00:00:00,5.55,2054.3,,,,,2714.0,,,,,EQ,,TCS,,2714.0,59909.18,2907521.0,7.5
,12.5,2060.49,2046.65,,,,,,,,,,,,,8.35,2054.3,03-SEP-19,26-NOV-18,215838.67,Tata Consultancy Services Limited,Listed,0,0,0,2071.7,2046.55,2020463.0,69.49,17-OCT-19,5.0,1.0,2296.2,,False,INE467B01029,2055.0,1784.5,N,,,2052.0,0.41,2046.65,No Band,1848.9,2259.7,INTERIM DIVIDEND - RS 5 PER SHARE AND SPECIAL DIVIDEND - RS 40 PER SHARE,2907521.0,18-OCT-19,27-Nov-2019 00:00:00,5.55,2054.3,,,,,2714.0,,,,,EQ,,TCS,,2714.0,59909.18,2907521.0,7.5
,12.5,2060.49,2046.65,,,,,,,,,,,,,8.35,2054.3,03-SEP-19,15-JAN-19,215838.67,Tata Consultancy Services Limited,Listed,0,0,0,2071.7,2046.55,2020463.0,69.49,17-OCT-19,5.0,1.0,2296.2,,False,INE467B01029,2055.0,1808.0,N,,,2052.0,0.41,2046.65,No Band,1848.9,2259.7,INTERIM DIVIDEND - RS 5 PER SHARE AND SPECIAL DIVIDEND - RS 40 PER SHARE,2907521.0,18-OCT-19,27-Nov-2019 00:00:00,5.55,2054.3,,,,,2714.0,,,,,EQ,,TCS,,2714.0,59909.18,2907521.0,7.5
,12.5,2060.49,2046.65,,,,,,,,,,,,,8.35,2054.3,03-SEP-19,15-JAN-19,215838.67,Tata Consultancy Services Limited,Listed,0,0,0,2071.7,2046.55,2020463.0,69.49,17-OCT-19,5.0,1.0,2296.2,,False,INE467B01029,2055.0,1808.0,N,,,2052.0,0.41,2046.65,No Band,1848.9,2259.7,INTERIM DIVIDEND - RS 5 PER SHARE AND SPECIAL DIVIDEND - RS 40 PER SHARE,2907521.0,18-OCT-19,27-Nov-2019 00:00:00,5.55,2054.3,,,,,2714.0,,,,,EQ,,TCS,,2714.0,59909.18,2907521.0,7.5
,12.5,2060.49,2046.65,,,,,,,,,,,,,8.35,2054.3,03-SEP-19,15-JAN-19,215838.67,Tata Consultancy Services Limited,Listed,0,0,0,2071.7,2046.55,2020463.0,69.49,17-OCT-19,5.0,1.0,2296.2,,False,INE467B01029,2055.0,1808.0,N,,,2052.0,0.41,2046.65,No Band,1848.9,2259.7,INTERIM DIVIDEND - RS 5 PER SHARE AND SPECIAL DIVIDEND - RS 40 PER SHARE,2907521.0,18-OCT-19,27-Nov-2019 00:00:00,5.55,2054.3,,,,,2714.0,,,,,EQ,,TCS,,2714.0,59909.18,2907521.0,7.5
,12.5,2060.49,2046.65,,,,,,,,,,,,,8.35,2054.3,03-SEP-19,15-JAN-19,215838.67,Tata Consultancy Services Limited,Listed,0,0,0,2071.7,2046.55,2020463.0,69.49,17-OCT-19,5.0,1.0,2296.2,,False,INE467B01029,2055.0,1808.0,N,,,2052.0,0.41,2046.65,No Band,1848.9,2259.7,INTERIM DIVIDEND - RS 5 PER SHARE AND SPECIAL DIVIDEND - RS 40 PER SHARE,2907521.0,18-OCT-19,27-Nov-2019 00:00:00,5.55,2054.3,,,,,2714.0,,,,,EQ,,TCS,,2714.0,59909.18,2907521.0,7.5
,12.5,2060.49,2054.3,,,,,,,,,,,,,0.7,2054.3,03-SEP-19,15-JAN-19,215838.67,Tata Consultancy Services Limited,Listed,0,0,0,2071.7,2046.55,2020463.0,69.49,17-OCT-19,5.0,1.0,2296.2,,False,INE467B01029,2055.0,1808.0,N,,,2052.0,0.03,2046.65,No Band,1848.9,2259.7,INTERIM DIVIDEND - RS 5 PER SHARE AND SPECIAL DIVIDEND - RS 40 PER SHARE,2907521.0,18-OCT-19,27-Nov-2019 00:00:00,5.55,2054.3,,,,,2714.0,,,,,EQ,,TCS,,2714.0,59909.18,2907521.0,7.5
,12.5,2065.08,2054.3,,,2061.1,2061.05,2060.15,2060.0,2059.75,17.0,119.0,21.0,93.0,74.0,7.15,0.0,03-SEP-19,15-JAN-19,215838.67,Tata Consultancy Services Limited,Listed,0,0,0,2067.85,2060.0,2020463.0,69.49,17-OCT-19,5.0,1.0,2296.2,,False,INE467B01029,2061.45,1808.0,N,,,2067.05,0.35,2054.3,No Band,1848.9,2259.7,INTERIM DIVIDEND - RS 5 PER SHARE AND SPECIAL DIVIDEND - RS 40 PER SHARE,2907521.0,18-OCT-19,27-Nov-2019 00:00:00,5.55,2061.4,2061.45,2061.55,2061.9,2062.0,9.0,224.0,300.0,481.0,328.0,EQ,,TCS,64334.0,93200.0,386.19,18701.0,7.5
,12.5,2067.19,2054.3,,,2070.25,2070.15,2070.1,2070.05,2070.0,43.0,19.0,92.0,19.0,156.0,16.45,0.0,03-SEP-19,15-JAN-19,215838.67,Tata Consultancy Services Limited,Listed,0,0,0,2070.75,2060.0,2020463.0,69.49,17-OCT-19,5.0,1.0,2296.2,,False,INE467B01029,2070.75,1808.0,N,,,2067.05,0.8,2054.3,No Band,1848.9,2259.7,INTERIM DIVIDEND - RS 5 PER SHARE AND SPECIAL DIVIDEND - RS 40 PER SHARE,2907521.0,18-OCT-19,27-Nov-2019 00:00:00,5.55,2070.8,2070.9,2071.0,2071.1,2071.2,1.0,5.0,241.0,1.0,1.0,EQ,,TCS,83055.0,105875.0,1526.89,73863.0,7.5
,12.5,2072.16,2054.3,,,2078.55,2078.5,2078.3,2078.25,2078.15,37.0,44.0,19.0,3.0,7.0,24.5,0.0,03-SEP-19,15-JAN-19,215838.67,Tata Consultancy Services Limited,Listed,0,0,0,2078.8,2060.0,2020463.0,69.49,17-OCT-19,5.0,1.0,2296.2,,False,INE467B01029,2078.8,1808.0,N,,,2067.05,1.19,2054.3,No Band,1848.9,2259.7,INTERIM DIVIDEND - RS 5 PER SHARE AND SPECIAL DIVIDEND - RS 40 PER SHARE,2907521.0,18-OCT-19,27-Nov-2019 00:00:00,5.55,2078.8,2078.9,2078.95,2079.0,2079.1,89.0,26.0,645.0,851.0,256.0,EQ,,TCS,112083.0,137420.0,5862.99,282941.0,7.5
