adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,764.47,763.6,31-JUL-19,27-JUL-19,767.55,,,,,230.0,,,,,4.4,767.55,02-MAY-19,31-JUL-19,47389.9,Tech Mahindra Limited,Listed,0,0,0,769.55,757.35,771501.0,56.32,25-JUL-19,5.0,5.0,846.5,,False,INE669C01036,768.0,607.15,N,,,762.85,0.58,763.6,No Band,687.25,839.95,ANNUAL GENERAL MEETING/DIVIDEND RS 14 PER SHARE,1369944.0,,27-Nov-2019 00:00:00,4.39,,,,,,,,,,,EQ,,TECHM,230.0,,10472.81,1369944.0,7.5
,12.5,764.47,763.6,31-JUL-19,27-JUL-19,767.55,,,,,230.0,,,,,4.4,767.55,02-MAY-19,31-JUL-19,47389.9,Tech Mahindra Limited,Listed,0,0,0,769.55,757.35,771501.0,56.32,25-JUL-19,5.0,5.0,846.5,,False,INE669C01036,768.0,607.15,N,,,762.85,0.58,763.6,No Band,690.8,844.3,ANNUAL GENERAL MEETING/DIVIDEND RS 14 PER SHARE,1369944.0,,27-Nov-2019 00:00:00,4.39,,,,,,,,,,,EQ,,TECHM,230.0,,10472.81,1369944.0,7.5
,12.5,764.47,763.6,31-JUL-19,27-JUL-19,767.55,,,,,230.0,,,,,4.4,767.55,02-MAY-19,31-JUL-19,47389.9,Tech Mahindra Limited,Listed,0,0,0,769.55,757.35,771501.0,56.32,25-JUL-19,5.0,5.0,846.5,,False,INE669C01036,768.0,607.15,N,,,762.85,0.58,763.6,No Band,690.8,844.3,ANNUAL GENERAL MEETING/DIVIDEND RS 14 PER SHARE,1369944.0,,27-Nov-2019 00:00:00,4.39,,,,,,,,,,,EQ,,TECHM,230.0,,10472.81,1369944.0,7.5
,12.5,764.47,763.6,31-JUL-19,27-JUL-19,767.55,,,,,230.0,,,,,4.4,767.55,02-MAY-19,31-JUL-19,47389.9,Tech Mahindra Limited,Listed,0,0,0,769.55,757.35,771501.0,56.32,25-JUL-19,5.0,5.0,846.5,,False,INE669C01036,768.0,607.15,N,,,762.85,0.58,763.6,No Band,690.8,844.3,ANNUAL GENERAL MEETING/DIVIDEND RS 14 PER SHARE,1369944.0,,27-Nov-2019 00:00:00,4.39,,,,,,,,,,,EQ,,TECHM,230.0,,10472.81,1369944.0,7.5
,12.5,764.47,763.6,31-JUL-19,27-JUL-19,767.55,,,,,230.0,,,,,4.4,767.55,02-MAY-19,31-JUL-19,47389.9,Tech Mahindra Limited,Listed,0,0,0,769.55,757.35,771501.0,56.32,25-JUL-19,5.0,5.0,846.5,,False,INE669C01036,768.0,607.15,N,,,762.85,0.58,763.6,No Band,690.8,844.3,ANNUAL GENERAL MEETING/DIVIDEND RS 14 PER SHARE,1369944.0,,27-Nov-2019 00:00:00,4.39,,,,,,,,,,,EQ,,TECHM,230.0,,10472.81,1369944.0,7.5
,12.5,764.47,763.6,31-JUL-19,27-JUL-19,767.55,,,,,230.0,,,,,4.4,767.55,02-MAY-19,31-JUL-19,47389.9,Tech Mahindra Limited,Listed,0,0,0,769.55,757.35,771501.0,56.32,25-JUL-19,5.0,5.0,846.5,,False,INE669C01036,768.0,607.15,N,,,762.85,0.58,763.6,No Band,690.8,844.3,ANNUAL GENERAL MEETING/DIVIDEND RS 14 PER SHARE,1369944.0,,27-Nov-2019 00:00:00,4.39,,,,,,,,,,,EQ,,TECHM,230.0,,10472.81,1369944.0,7.5
,12.5,764.47,767.55,31-JUL-19,27-JUL-19,767.55,,,,,230.0,,,,,0.45,767.55,02-MAY-19,31-JUL-19,47389.9,Tech Mahindra Limited,Listed,0,0,0,769.55,757.35,771501.0,56.32,25-JUL-19,5.0,5.0,846.5,,False,INE669C01036,768.0,607.15,N,,,762.85,0.06,763.6,No Band,690.8,844.3,ANNUAL GENERAL MEETING/DIVIDEND RS 14 PER SHARE,1369944.0,,27-Nov-2019 00:00:00,4.39,,,,,,,,,,,EQ,,TECHM,230.0,,10472.81,1369944.0,7.5
,12.5,765.09,767.55,31-JUL-19,27-JUL-19,764.1,764.05,764.0,763.5,763.45,1.0,2.0,5.0,3.0,117.0,-3.40,0.0,02-MAY-19,31-JUL-19,47389.9,Tech Mahindra Limited,Listed,0,0,0,767.0,764.0,771501.0,56.32,25-JUL-19,5.0,5.0,846.5,,False,INE669C01036,764.15,607.15,N,,,765.15,-0.44,767.55,No Band,690.8,844.3,ANNUAL GENERAL MEETING/DIVIDEND RS 14 PER SHARE,1369944.0,,27-Nov-2019 00:00:00,4.39,764.5,764.55,764.6,764.65,764.75,316.0,126.0,10.0,78.0,65.0,EQ,,TECHM,27434.0,51038.0,9.76,1276.0,7.5
,12.5,764.07,767.55,31-JUL-19,27-JUL-19,765.15,765.1,765.05,765.0,764.55,8.0,10.0,84.0,100.0,31.0,-2.40,0.0,02-MAY-19,31-JUL-19,47389.9,Tech Mahindra Limited,Listed,0,0,0,767.0,762.0,771501.0,56.32,25-JUL-19,5.0,5.0,846.5,,False,INE669C01036,765.15,607.15,N,,,765.15,-0.31,767.55,No Band,690.8,844.3,ANNUAL GENERAL MEETING/DIVIDEND RS 14 PER SHARE,1369944.0,,27-Nov-2019 00:00:00,4.39,765.75,765.85,765.9,766.0,766.05,194.0,52.0,1059.0,26.0,115.0,EQ,,TECHM,100487.0,116979.0,50.94,6667.0,7.5
,12.5,766.17,767.55,31-JUL-19,27-JUL-19,767.75,767.7,767.65,767.6,767.55,148.0,392.0,262.0,20.0,78.0,0.2,0.0,02-MAY-19,31-JUL-19,47389.9,Tech Mahindra Limited,Listed,0,0,0,769.0,762.0,771501.0,56.32,25-JUL-19,5.0,5.0,846.5,,False,INE669C01036,767.75,607.15,N,,,765.15,0.03,767.55,No Band,690.8,844.3,ANNUAL GENERAL MEETING/DIVIDEND RS 14 PER SHARE,1369944.0,,27-Nov-2019 00:00:00,4.39,768.0,768.1,768.15,768.2,768.4,150.0,36.0,61.0,122.0,230.0,EQ,,TECHM,134899.0,146443.0,260.48,33998.0,7.5
,12.5,766.97,767.55,31-JUL-19,27-JUL-19,769.9,769.85,769.8,769.7,769.65,27.0,12.0,3.0,89.0,237.0,2.45,0.0,02-MAY-19,31-JUL-19,47389.9,Tech Mahindra Limited,Listed,0,0,0,770.05,762.0,771501.0,56.32,25-JUL-19,5.0,5.0,846.5,,False,INE669C01036,770.0,607.15,N,,,765.15,0.32,767.55,No Band,690.8,844.3,ANNUAL GENERAL MEETING/DIVIDEND RS 14 PER SHARE,1369944.0,,27-Nov-2019 00:00:00,4.39,770.0,770.25,770.3,770.35,770.4,923.0,543.0,132.0,301.0,2556.0,EQ,,TECHM,149721.0,153393.0,345.11,44996.0,7.5
