adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,281.23,280.35,,,,,,,,,,,,,-0.20,281.85,16-JUL-19,25-FEB-19,4741.16,Torrent Power Limited,Listed,0,0,0,282.5,279.9,654444.0,71.57,13-JUN-19,5.0,10.0,313.7,,False,INE813H01021,280.15,230.2,N,,,281.75,-0.07,280.35,No Band,252.35,308.35,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,914430.0,14-JUN-19,27-Nov-2019 00:00:00,4.61,281.85,,,,,4928.0,,,,,EQ,,TORNTPOWER,,4928.0,2571.65,914430.0,7.5
,12.5,281.23,280.35,,,,,,,,,,,,,-0.20,281.85,16-JUL-19,25-FEB-19,4741.16,Torrent Power Limited,Listed,0,0,0,282.5,279.9,654444.0,71.57,13-JUN-19,5.0,10.0,313.7,,False,INE813H01021,280.15,230.2,N,,,281.75,-0.07,280.35,No Band,253.7,310.0,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,914430.0,14-JUN-19,27-Nov-2019 00:00:00,4.61,281.85,,,,,4928.0,,,,,EQ,,TORNTPOWER,,4928.0,2571.65,914430.0,7.5
,12.5,281.23,280.35,,,,,,,,,,,,,-0.20,281.85,16-JUL-19,25-FEB-19,4741.16,Torrent Power Limited,Listed,0,0,0,282.5,279.9,654444.0,71.57,13-JUN-19,5.0,10.0,313.7,,False,INE813H01021,280.15,230.2,N,,,281.75,-0.07,280.35,No Band,253.7,310.0,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,914430.0,14-JUN-19,27-Nov-2019 00:00:00,4.61,281.85,,,,,4928.0,,,,,EQ,,TORNTPOWER,,4928.0,2571.65,914430.0,7.5
,12.5,281.23,280.35,,,,,,,,,,,,,-0.20,281.85,16-JUL-19,25-FEB-19,4741.16,Torrent Power Limited,Listed,0,0,0,282.5,279.9,654444.0,71.57,13-JUN-19,5.0,10.0,313.7,,False,INE813H01021,280.15,230.2,N,,,281.75,-0.07,280.35,No Band,253.7,310.0,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,914430.0,14-JUN-19,27-Nov-2019 00:00:00,4.61,281.85,,,,,4928.0,,,,,EQ,,TORNTPOWER,,4928.0,2571.65,914430.0,7.5
,12.5,281.23,280.35,,,,,,,,,,,,,-0.20,281.85,16-JUL-19,25-FEB-19,4741.16,Torrent Power Limited,Listed,0,0,0,282.5,279.9,654444.0,71.57,13-JUN-19,5.0,10.0,313.7,,False,INE813H01021,280.15,230.2,N,,,281.75,-0.07,280.35,No Band,253.7,310.0,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,914430.0,14-JUN-19,27-Nov-2019 00:00:00,4.61,281.85,,,,,4928.0,,,,,EQ,,TORNTPOWER,,4928.0,2571.65,914430.0,7.5
,12.5,281.23,280.35,,,,,,,,,,,,,-0.20,281.85,16-JUL-19,25-FEB-19,4741.16,Torrent Power Limited,Listed,0,0,0,282.5,279.9,654444.0,71.57,13-JUN-19,5.0,10.0,313.7,,False,INE813H01021,280.15,230.2,N,,,281.75,-0.07,280.35,No Band,253.7,310.0,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,914430.0,14-JUN-19,27-Nov-2019 00:00:00,4.61,281.85,,,,,4928.0,,,,,EQ,,TORNTPOWER,,4928.0,2571.65,914430.0,7.5
,12.5,281.23,281.85,,,,,,,,,,,,,-1.70,281.85,16-JUL-19,25-FEB-19,4741.16,Torrent Power Limited,Listed,0,0,0,282.5,279.9,654444.0,71.57,13-JUN-19,5.0,10.0,313.7,,False,INE813H01021,280.15,230.2,N,,,281.75,-0.60,280.35,No Band,253.7,310.0,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,914430.0,14-JUN-19,27-Nov-2019 00:00:00,4.61,281.85,,,,,4928.0,,,,,EQ,,TORNTPOWER,,4928.0,2571.65,914430.0,7.5
,12.5,281.68,281.85,,,281.5,281.45,281.3,281.2,281.15,1002.0,166.0,43.0,100.0,56.0,-0.30,0.0,16-JUL-19,25-FEB-19,4741.16,Torrent Power Limited,Listed,0,0,0,281.9,280.5,654444.0,71.57,13-JUN-19,5.0,10.0,313.7,,False,INE813H01021,281.55,230.2,N,,,281.9,-0.11,281.85,No Band,253.7,310.0,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,914430.0,14-JUN-19,27-Nov-2019 00:00:00,4.61,281.75,281.8,281.85,281.9,281.95,191.0,286.0,125.0,1552.0,386.0,EQ,,TORNTPOWER,215735.0,193622.0,13.18,4678.0,7.5
,12.5,281.38,281.85,,,281.0,280.85,280.8,280.75,280.7,124.0,222.0,1162.0,486.0,1635.0,-0.85,0.0,16-JUL-19,25-FEB-19,4741.16,Torrent Power Limited,Listed,0,0,0,281.9,280.5,654444.0,71.57,13-JUN-19,5.0,10.0,313.7,,False,INE813H01021,281.0,230.2,N,,,281.9,-0.30,281.85,No Band,253.7,310.0,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,914430.0,14-JUN-19,27-Nov-2019 00:00:00,4.61,281.2,281.25,281.3,281.35,281.4,191.0,291.0,166.0,159.0,334.0,EQ,,TORNTPOWER,286317.0,210918.0,38.89,13820.0,7.5
,12.5,281.21,281.85,,,280.9,280.85,280.8,280.75,280.7,231.0,91.0,313.0,232.0,494.0,-0.85,0.0,16-JUL-19,25-FEB-19,4741.16,Torrent Power Limited,Listed,0,0,0,281.9,280.5,654444.0,71.57,13-JUN-19,5.0,10.0,313.7,,False,INE813H01021,281.0,230.2,N,,,281.9,-0.30,281.85,No Band,253.7,310.0,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,914430.0,14-JUN-19,27-Nov-2019 00:00:00,4.61,281.05,281.1,281.25,281.3,281.35,368.0,441.0,538.0,1036.0,3965.0,EQ,,TORNTPOWER,294759.0,220065.0,53.31,18957.0,7.5
