adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
10.46,24.32,321.66,309.8,02-AUG-19,27-JUL-19,323.5,,,,,2893.0,,,,,15.0,323.5,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,328.0,309.5,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,324.8,207.05,N,,,309.5,4.84,309.8,No Band,278.85,340.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,,,,,,,,,,,EQ,,UJJIVAN,2893.0,,21421.69,6659730.0,8.86
10.46,24.32,321.66,309.8,02-AUG-19,27-JUL-19,323.5,,,,,2893.0,,,,,15.0,323.5,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,328.0,309.5,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,324.8,207.05,N,,,309.5,4.84,309.8,No Band,278.85,340.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,,,,,,,,,,,EQ,,UJJIVAN,2893.0,,21421.69,6659730.0,8.86
10.46,24.32,321.66,309.8,02-AUG-19,27-JUL-19,323.5,,,,,2893.0,,,,,15.0,323.5,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,328.0,309.5,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,324.8,207.05,N,,,309.5,4.84,309.8,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,,,,,,,,,,,EQ,,UJJIVAN,2893.0,,21421.69,6659730.0,8.86
10.46,24.32,321.66,309.8,02-AUG-19,27-JUL-19,323.5,,,,,2893.0,,,,,15.0,323.5,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,328.0,309.5,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,324.8,207.05,N,,,309.5,4.84,309.8,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,,,,,,,,,,,EQ,,UJJIVAN,2893.0,,21421.69,6659730.0,8.86
10.46,24.32,321.66,309.8,02-AUG-19,27-JUL-19,323.5,,,,,2893.0,,,,,15.0,323.5,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,328.0,309.5,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,324.8,207.05,N,,,309.5,4.84,309.8,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,,,,,,,,,,,EQ,,UJJIVAN,2893.0,,21421.69,6659730.0,8.86
10.46,24.32,321.66,309.8,02-AUG-19,27-JUL-19,323.5,,,,,2893.0,,,,,15.0,323.5,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,328.0,309.5,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,324.8,207.05,N,,,309.5,4.84,309.8,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,,,,,,,,,,,EQ,,UJJIVAN,2893.0,,21421.69,6659730.0,8.86
10.46,24.32,321.66,309.8,02-AUG-19,27-JUL-19,323.5,,,,,2893.0,,,,,15.0,323.5,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,328.0,309.5,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,324.8,207.05,N,,,309.5,4.84,309.8,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,,,,,,,,,,,EQ,,UJJIVAN,2893.0,,21421.69,6659730.0,8.86
10.46,24.32,321.66,309.8,02-AUG-19,27-JUL-19,323.5,,,,,2893.0,,,,,15.0,323.5,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,328.0,309.5,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,324.8,207.05,N,,,309.5,4.84,309.8,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,,,,,,,,,,,EQ,,UJJIVAN,2893.0,,21421.69,6659730.0,8.86
10.46,24.32,321.66,323.5,02-AUG-19,27-JUL-19,323.5,,,,,2893.0,,,,,1.3,323.5,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,328.0,309.5,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,324.8,207.05,N,,,309.5,0.4,309.8,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,,,,,,,,,,,EQ,,UJJIVAN,2893.0,,21421.69,6659730.0,8.86
10.46,24.32,325.99,323.5,02-AUG-19,27-JUL-19,324.0,323.95,323.9,323.85,323.8,279.0,100.0,70.0,45.0,1.0,0.55,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,323.5,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,324.05,207.05,N,,,325.5,0.17,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,324.05,324.1,324.2,324.25,324.3,576.0,260.0,1675.0,320.0,281.0,EQ,,UJJIVAN,140168.0,214976.0,1063.67,326289.0,8.86
10.46,24.32,325.96,323.5,02-AUG-19,27-JUL-19,326.15,326.1,326.05,326.0,325.95,84.0,151.0,233.0,2817.0,266.0,2.65,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,323.5,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,326.15,207.05,N,,,325.5,0.82,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,326.4,326.45,326.5,326.55,326.6,203.0,2304.0,473.0,67.0,1196.0,EQ,,UJJIVAN,193473.0,237755.0,1412.41,433307.0,8.86
10.46,24.32,325.84,323.5,02-AUG-19,27-JUL-19,324.45,324.4,324.35,324.25,324.2,2369.0,943.0,780.0,545.0,101.0,0.95,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,323.5,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,324.45,207.05,N,,,325.5,0.29,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,324.7,324.8,324.85,324.9,324.95,367.0,61.0,2684.0,616.0,2015.0,EQ,,UJJIVAN,184412.0,279558.0,1633.45,501305.0,8.86
10.46,24.32,325.77,323.5,02-AUG-19,27-JUL-19,324.6,324.5,324.45,324.4,324.35,85.0,93.0,4739.0,574.0,617.0,1.25,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,323.5,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,324.75,207.05,N,,,325.5,0.39,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,324.8,324.85,324.9,324.95,325.0,303.0,3200.0,296.0,800.0,1944.0,EQ,,UJJIVAN,208857.0,313202.0,1797.24,551691.0,8.86
10.46,24.32,325.61,323.5,02-AUG-19,27-JUL-19,324.2,324.15,324.1,324.05,324.0,44.0,207.0,370.0,2607.0,1375.0,0.8,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,323.5,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,324.3,207.05,N,,,325.5,0.25,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,324.3,324.35,324.45,324.5,324.55,651.0,1600.0,3176.0,2115.0,1309.0,EQ,,UJJIVAN,207406.0,330124.0,1993.89,612354.0,8.86
10.46,24.32,325.51,323.5,02-AUG-19,27-JUL-19,323.9,323.85,323.8,323.75,323.7,189.0,1143.0,1640.0,1363.0,2305.0,0.4,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,323.5,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,323.9,207.05,N,,,325.5,0.12,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,324.0,324.05,324.1,324.15,324.2,69.0,1059.0,161.0,534.0,253.0,EQ,,UJJIVAN,240622.0,359721.0,2134.06,655604.0,8.86
10.46,24.32,325.38,323.5,02-AUG-19,27-JUL-19,324.45,324.4,324.35,324.3,324.25,114.0,1906.0,953.0,767.0,108.0,0.95,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,323.5,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,324.45,207.05,N,,,325.5,0.29,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,324.55,324.6,324.65,324.7,324.75,75.0,1797.0,27.0,4093.0,1798.0,EQ,,UJJIVAN,255524.0,384211.0,2336.65,718130.0,8.86
10.46,24.32,325.37,323.5,02-AUG-19,27-JUL-19,325.1,325.05,325.0,324.95,324.9,1722.0,969.0,2491.0,482.0,407.0,1.6,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,323.5,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,325.1,207.05,N,,,325.5,0.49,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,325.2,325.35,325.4,325.45,325.5,1.0,307.0,605.0,10.0,6471.0,EQ,,UJJIVAN,271289.0,368472.0,2401.13,737968.0,8.86
10.46,24.32,325.36,323.5,02-AUG-19,27-JUL-19,324.6,324.55,324.5,324.4,324.35,68.0,580.0,1975.0,1633.0,738.0,1.25,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,323.5,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,324.75,207.05,N,,,325.5,0.39,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,324.75,324.8,324.85,324.9,324.95,50.0,370.0,891.0,1228.0,2573.0,EQ,,UJJIVAN,261096.0,386064.0,2463.64,757205.0,8.86
10.46,24.32,325.3,323.5,02-AUG-19,27-JUL-19,323.75,323.7,323.65,323.6,323.55,2540.0,5.0,592.0,2037.0,1299.0,0.25,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,323.5,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,323.75,207.05,N,,,325.5,0.08,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,323.9,323.95,324.0,324.05,324.1,100.0,200.0,2635.0,75.0,1164.0,EQ,,UJJIVAN,241110.0,401621.0,2576.02,791892.0,8.86
10.46,24.32,325.24,323.5,02-AUG-19,27-JUL-19,323.7,323.65,323.6,323.55,323.5,510.0,250.0,1298.0,1883.0,4112.0,0.35,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,323.5,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,323.85,207.05,N,,,325.5,0.11,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,323.85,323.9,323.95,324.0,324.05,818.0,356.0,1380.0,2470.0,1134.0,EQ,,UJJIVAN,243081.0,405366.0,2680.54,824174.0,8.86
10.46,24.32,325.19,323.5,02-AUG-19,27-JUL-19,324.5,324.45,324.4,324.35,324.3,167.0,357.0,204.0,363.0,281.0,1.3,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,323.5,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,324.8,207.05,N,,,325.5,0.4,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,324.8,324.85,324.9,324.95,325.0,444.0,369.0,614.0,2863.0,2759.0,EQ,,UJJIVAN,259714.0,387661.0,2812.92,865009.0,8.86
10.46,24.32,325.04,323.5,02-AUG-19,27-JUL-19,322.55,322.5,322.45,322.4,322.3,35.0,388.0,1085.0,426.0,456.0,-0.85,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,322.35,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,322.65,207.05,N,,,325.5,-0.26,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,322.65,322.7,322.75,322.8,322.85,154.0,179.0,356.0,625.0,450.0,EQ,,UJJIVAN,240638.0,411810.0,3022.65,929933.0,8.86
10.46,24.32,325.0,323.5,02-AUG-19,27-JUL-19,322.65,322.6,322.55,322.5,322.45,68.0,751.0,556.0,1526.0,1460.0,-0.75,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,322.35,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,322.75,207.05,N,,,325.5,-0.23,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,322.75,322.8,322.85,322.9,322.95,111.0,1722.0,89.0,763.0,396.0,EQ,,UJJIVAN,247286.0,409132.0,3083.37,948730.0,8.86
10.46,24.32,324.88,323.5,02-AUG-19,27-JUL-19,322.7,322.65,322.6,322.55,322.5,67.0,613.0,510.0,1513.0,1694.0,-0.80,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,322.2,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,322.7,207.05,N,,,325.5,-0.25,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,322.9,322.95,323.0,323.05,323.1,251.0,513.0,1025.0,788.0,1307.0,EQ,,UJJIVAN,254870.0,412529.0,3274.66,1007959.0,8.86
10.46,24.32,324.78,323.5,02-AUG-19,27-JUL-19,322.2,322.15,322.1,322.05,322.0,62.0,214.0,2727.0,472.0,5288.0,-1.30,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,322.15,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,322.2,207.05,N,,,325.5,-0.40,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,322.35,322.4,322.45,322.5,322.55,503.0,320.0,332.0,1119.0,281.0,EQ,,UJJIVAN,254789.0,413227.0,3426.45,1055006.0,8.86
10.46,24.32,324.71,323.5,02-AUG-19,27-JUL-19,322.1,322.05,322.0,321.95,321.9,150.0,955.0,594.0,100.0,543.0,-1.40,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,321.75,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,322.1,207.05,N,,,325.5,-0.43,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,322.35,322.4,322.45,322.5,322.55,432.0,357.0,692.0,2436.0,1828.0,EQ,,UJJIVAN,248374.0,419777.0,3526.93,1086177.0,8.86
10.46,24.32,324.69,323.5,02-AUG-19,27-JUL-19,321.8,321.75,321.7,321.65,321.6,295.0,2534.0,827.0,1472.0,666.0,-1.60,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,321.75,802029.0,12.04,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,321.9,207.05,N,,,325.5,-0.49,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,6659730.0,,27-Nov-2019 00:00:00,8.86,321.95,322.0,322.05,322.1,322.15,5.0,1400.0,882.0,1110.0,50.0,EQ,,UJJIVAN,252673.0,421277.0,3548.08,1092758.0,8.86
10.46,24.32,324.55,323.5,02-AUG-19,27-JUL-19,321.2,321.15,321.1,321.05,321.0,71.0,200.0,4575.0,1117.0,8733.0,-2.30,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,321.2,457031.0,45.19,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,321.2,207.05,N,,,325.5,-0.71,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,1011271.0,,28-Nov-2019 10:00:00,8.86,321.3,321.35,321.4,321.45,321.5,384.0,237.0,356.0,2228.0,4331.0,EQ,,UJJIVAN,251525.0,437300.0,3727.02,1148365.0,8.86
10.46,24.32,324.47,323.5,02-AUG-19,27-JUL-19,324.0,323.95,323.85,323.8,323.75,246.0,311.0,503.0,1066.0,1046.0,0.7,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,321.2,457031.0,45.19,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,324.2,207.05,N,,,325.5,0.22,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,1011271.0,,28-Nov-2019 10:00:00,8.86,324.2,324.25,324.3,324.35,324.4,68.0,1978.0,1038.0,2532.0,2367.0,EQ,,UJJIVAN,292662.0,387374.0,3900.38,1202076.0,8.86
10.46,24.32,324.48,323.5,02-AUG-19,27-JUL-19,323.7,323.5,323.4,323.35,323.3,3.0,339.0,342.0,1157.0,1372.0,0.2,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,321.2,457031.0,45.19,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,323.7,207.05,N,,,325.5,0.06,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,1011271.0,,28-Nov-2019 10:00:00,8.86,323.75,323.8,323.85,323.9,323.95,241.0,748.0,455.0,676.0,1837.0,EQ,,UJJIVAN,283031.0,401461.0,4165.23,1283664.0,8.86
10.46,24.32,324.43,323.5,02-AUG-19,27-JUL-19,322.15,322.05,322.0,321.95,321.9,80.0,779.0,2067.0,281.0,797.0,-1.30,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,321.2,457031.0,45.19,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,322.2,207.05,N,,,325.5,-0.40,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,1011271.0,,28-Nov-2019 10:00:00,8.86,322.3,322.35,322.4,322.45,322.5,10.0,86.0,124.0,617.0,372.0,EQ,,UJJIVAN,264020.0,424809.0,4271.79,1316707.0,8.86
10.46,24.32,324.42,323.5,02-AUG-19,27-JUL-19,322.3,322.25,322.2,322.15,322.1,169.0,130.0,856.0,270.0,1045.0,-1.20,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,321.2,457031.0,45.19,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,322.3,207.05,N,,,325.5,-0.37,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,1011271.0,,28-Nov-2019 10:00:00,8.86,322.4,322.45,322.5,322.55,322.6,25.0,137.0,138.0,1038.0,473.0,EQ,,UJJIVAN,274061.0,430658.0,4294.71,1323812.0,8.86
10.46,24.32,324.41,323.5,02-AUG-19,27-JUL-19,322.2,322.15,322.1,322.05,322.0,547.0,137.0,1977.0,1753.0,6367.0,-1.25,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,321.2,457031.0,45.19,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,322.25,207.05,N,,,325.5,-0.39,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,1011271.0,,28-Nov-2019 10:00:00,8.86,322.25,322.3,322.35,322.4,322.45,350.0,50.0,309.0,137.0,941.0,EQ,,UJJIVAN,273156.0,433779.0,4322.26,1332345.0,8.86
10.46,24.32,324.34,323.5,02-AUG-19,27-JUL-19,321.75,321.7,321.65,321.6,321.55,102.0,167.0,137.0,371.0,2476.0,-1.75,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,321.2,457031.0,45.19,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,321.75,207.05,N,,,325.5,-0.54,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,1011271.0,,28-Nov-2019 10:00:00,8.86,321.85,321.95,322.0,322.05,322.1,100.0,677.0,988.0,472.0,1219.0,EQ,,UJJIVAN,264366.0,454854.0,4453.04,1372954.0,8.86
10.46,24.32,324.33,323.5,02-AUG-19,27-JUL-19,321.55,321.5,321.45,321.4,321.35,323.0,3767.0,1075.0,496.0,628.0,-1.95,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,321.2,457031.0,45.19,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,321.55,207.05,N,,,325.5,-0.60,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,1011271.0,,28-Nov-2019 10:00:00,8.86,321.65,321.7,321.75,321.8,321.85,2722.0,124.0,3841.0,61.0,448.0,EQ,,UJJIVAN,263116.0,461655.0,4470.78,1378467.0,8.86
10.46,24.32,324.3,323.5,02-AUG-19,27-JUL-19,321.4,321.35,321.3,321.25,321.2,133.0,62.0,598.0,923.0,2502.0,-2.05,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,321.2,457031.0,45.19,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,321.45,207.05,N,,,325.5,-0.63,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,1011271.0,,28-Nov-2019 10:00:00,8.86,321.55,321.6,321.7,321.75,321.8,205.0,1552.0,287.0,3194.0,1225.0,EQ,,UJJIVAN,256979.0,461512.0,4507.13,1389802.0,8.86
10.46,24.32,324.28,323.5,02-AUG-19,27-JUL-19,321.4,321.35,321.3,321.25,321.2,155.0,103.0,712.0,240.0,757.0,-2.05,0.0,04-JUN-19,10-DEC-18,3927.56,Ujjivan Financial Services Limited,Listed,0,0,0,327.45,321.15,457031.0,45.19,25-JUL-19,5.0,10.0,371.6,,False,INE334L01012,321.45,207.05,N,,,325.5,-0.63,323.5,No Band,291.15,355.85,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.45 PER SHARE,1011271.0,,28-Nov-2019 10:00:00,8.86,321.45,321.5,321.55,321.6,321.65,756.0,280.0,594.0,395.0,512.0,EQ,,UJJIVAN,256344.0,460571.0,4543.46,1401093.0,8.86
