adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,549.81,541.7,,,551.85,,,,,523.0,,,,,11.3,551.85,05-JUL-19,24-DEC-18,30356.72,UPL Limited,Listed,0,0,0,554.9,544.2,1901743.0,51.09,02-JUL-19,5.0,2.0,709.05,,False,INE628A01036,553.0,480.67,N,,,544.2,2.09,541.7,No Band,487.55,595.85,BONUS 1:2,3722294.0,03-JUL-19,27-Nov-2019 00:00:00,6.59,,,,,,,,,,,EQ,,UPL,523.0,,20465.54,3722294.0,7.5
,12.5,549.81,541.7,,,551.85,,,,,523.0,,,,,11.3,551.85,05-JUL-19,24-DEC-18,30356.72,UPL Limited,Listed,0,0,0,554.9,544.2,1901743.0,51.09,02-JUL-19,5.0,2.0,709.05,,False,INE628A01036,553.0,480.67,N,,,544.2,2.09,541.7,No Band,496.7,607.0,BONUS 1:2,3722294.0,03-JUL-19,27-Nov-2019 00:00:00,6.59,,,,,,,,,,,EQ,,UPL,523.0,,20465.54,3722294.0,7.5
,12.5,549.81,541.7,,,551.85,,,,,523.0,,,,,11.3,551.85,05-JUL-19,24-DEC-18,30356.72,UPL Limited,Listed,0,0,0,554.9,544.2,1901743.0,51.09,02-JUL-19,5.0,2.0,709.05,,False,INE628A01036,553.0,480.67,N,,,544.2,2.09,541.7,No Band,496.7,607.0,BONUS 1:2,3722294.0,03-JUL-19,27-Nov-2019 00:00:00,6.59,,,,,,,,,,,EQ,,UPL,523.0,,20465.54,3722294.0,7.5
,12.5,549.81,541.7,,,551.85,,,,,523.0,,,,,11.3,551.85,05-JUL-19,24-DEC-18,30356.72,UPL Limited,Listed,0,0,0,554.9,544.2,1901743.0,51.09,02-JUL-19,5.0,2.0,709.05,,False,INE628A01036,553.0,480.67,N,,,544.2,2.09,541.7,No Band,496.7,607.0,BONUS 1:2,3722294.0,03-JUL-19,27-Nov-2019 00:00:00,6.59,,,,,,,,,,,EQ,,UPL,523.0,,20465.54,3722294.0,7.5
,12.5,549.81,541.7,,,551.85,,,,,523.0,,,,,11.3,551.85,05-JUL-19,24-DEC-18,30356.72,UPL Limited,Listed,0,0,0,554.9,544.2,1901743.0,51.09,02-JUL-19,5.0,2.0,709.05,,False,INE628A01036,553.0,480.67,N,,,544.2,2.09,541.7,No Band,496.7,607.0,BONUS 1:2,3722294.0,03-JUL-19,27-Nov-2019 00:00:00,6.59,,,,,,,,,,,EQ,,UPL,523.0,,20465.54,3722294.0,7.5
,12.5,549.81,541.7,,,551.85,,,,,523.0,,,,,11.3,551.85,05-JUL-19,24-DEC-18,30356.72,UPL Limited,Listed,0,0,0,554.9,544.2,1901743.0,51.09,02-JUL-19,5.0,2.0,709.05,,False,INE628A01036,553.0,480.67,N,,,544.2,2.09,541.7,No Band,496.7,607.0,BONUS 1:2,3722294.0,03-JUL-19,27-Nov-2019 00:00:00,6.59,,,,,,,,,,,EQ,,UPL,523.0,,20465.54,3722294.0,7.5
,12.5,549.81,551.85,,,551.85,,,,,523.0,,,,,1.15,551.85,05-JUL-19,24-DEC-18,30356.72,UPL Limited,Listed,0,0,0,554.9,544.2,1901743.0,51.09,02-JUL-19,5.0,2.0,709.05,,False,INE628A01036,553.0,480.67,N,,,544.2,0.21,541.7,No Band,496.7,607.0,BONUS 1:2,3722294.0,03-JUL-19,27-Nov-2019 00:00:00,6.59,,,,,,,,,,,EQ,,UPL,523.0,,20465.54,3722294.0,7.5
,12.5,549.81,551.85,,,551.85,,,,,523.0,,,,,1.15,551.85,05-JUL-19,24-DEC-18,30356.72,UPL Limited,Listed,0,0,0,554.9,544.2,1901743.0,51.09,02-JUL-19,5.0,2.0,709.05,,False,INE628A01036,553.0,480.67,N,,,544.2,0.21,541.7,No Band,496.7,607.0,BONUS 1:2,3722294.0,03-JUL-19,27-Nov-2019 00:00:00,6.59,,,,,,,,,,,EQ,,UPL,523.0,,20465.54,3722294.0,7.5
,12.5,558.03,551.85,,,559.55,559.5,559.25,559.2,559.15,627.0,1050.0,52.0,107.0,486.0,7.7,0.0,05-JUL-19,24-DEC-18,30356.72,UPL Limited,Listed,0,0,0,560.8,554.05,1901743.0,51.09,02-JUL-19,5.0,2.0,709.05,,False,INE628A01036,559.55,480.67,N,,,554.8,1.4,551.85,No Band,496.7,607.0,BONUS 1:2,3722294.0,03-JUL-19,27-Nov-2019 00:00:00,6.59,559.85,559.9,560.0,560.05,560.1,10.0,757.0,748.0,248.0,170.0,EQ,,UPL,150629.0,124083.0,1226.62,219813.0,7.5
,12.5,558.48,551.85,,,558.1,558.05,558.0,557.95,557.9,380.0,121.0,4073.0,100.0,352.0,6.8,0.0,05-JUL-19,24-DEC-18,30356.72,UPL Limited,Listed,0,0,0,560.8,554.05,1901743.0,51.09,02-JUL-19,5.0,2.0,709.05,,False,INE628A01036,558.65,480.67,N,,,554.8,1.23,551.85,No Band,496.7,607.0,BONUS 1:2,3722294.0,03-JUL-19,27-Nov-2019 00:00:00,6.59,558.6,558.65,558.75,558.8,558.85,83.0,89.0,303.0,150.0,655.0,EQ,,UPL,161674.0,151306.0,2019.94,361686.0,7.5
,12.5,559.02,551.85,,,561.55,561.5,561.45,561.4,561.35,1095.0,3122.0,680.0,978.0,682.0,10.15,0.0,05-JUL-19,24-DEC-18,30356.72,UPL Limited,Listed,0,0,0,562.0,554.05,1901743.0,51.09,02-JUL-19,5.0,2.0,709.05,,False,INE628A01036,562.0,480.67,N,,,554.8,1.84,551.85,No Band,496.7,607.0,BONUS 1:2,3722294.0,03-JUL-19,27-Nov-2019 00:00:00,6.59,562.0,562.1,562.15,562.2,562.25,4132.0,234.0,15.0,300.0,74.0,EQ,,UPL,194699.0,140287.0,2652.18,474434.0,7.5
,12.5,559.55,551.85,,,558.55,558.5,558.35,558.3,558.25,637.0,150.0,350.0,602.0,549.0,6.7,0.0,05-JUL-19,24-DEC-18,30356.72,UPL Limited,Listed,0,0,0,562.2,554.05,1901743.0,51.09,02-JUL-19,5.0,2.0,709.05,,False,INE628A01036,558.55,480.67,N,,,554.8,1.21,551.85,No Band,496.7,607.0,BONUS 1:2,3722294.0,03-JUL-19,27-Nov-2019 00:00:00,6.59,558.95,559.0,559.1,559.15,559.2,154.0,150.0,636.0,100.0,598.0,EQ,,UPL,201523.0,213294.0,4099.45,732634.0,7.5
,12.5,559.61,551.85,,,561.0,560.95,560.9,560.85,560.8,715.0,364.0,454.0,383.0,532.0,9.4,0.0,05-JUL-19,24-DEC-18,30356.72,UPL Limited,Listed,0,0,0,562.2,554.05,1901743.0,51.09,02-JUL-19,5.0,2.0,709.05,,False,INE628A01036,561.25,480.67,N,,,554.8,1.7,551.85,No Band,496.7,607.0,BONUS 1:2,3722294.0,03-JUL-19,27-Nov-2019 00:00:00,6.59,561.2,561.25,561.3,561.35,561.4,1000.0,133.0,402.0,470.0,1595.0,EQ,,UPL,291531.0,253905.0,5037.5,900180.0,7.5
,12.5,560.13,551.85,,,563.4,563.0,562.9,562.85,562.8,5.0,2088.0,329.0,314.0,2543.0,11.6,0.0,05-JUL-19,24-DEC-18,30356.72,UPL Limited,Listed,0,0,0,563.85,554.05,1901743.0,51.09,02-JUL-19,5.0,2.0,709.05,,False,INE628A01036,563.45,480.67,N,,,554.8,2.1,551.85,No Band,496.7,607.0,BONUS 1:2,3722294.0,03-JUL-19,27-Nov-2019 00:00:00,6.59,563.45,563.5,563.55,563.6,563.65,35.0,1252.0,251.0,150.0,301.0,EQ,,UPL,319534.0,277595.0,6190.78,1105239.0,7.5
,12.5,560.88,551.85,,,565.0,564.95,564.9,564.85,564.8,80.0,526.0,424.0,930.0,782.0,13.4,0.0,05-JUL-19,24-DEC-18,30356.72,UPL Limited,Listed,0,0,0,565.5,554.05,1901743.0,51.09,02-JUL-19,5.0,2.0,709.05,,False,INE628A01036,565.25,480.67,N,,,554.8,2.43,551.85,No Band,496.7,607.0,BONUS 1:2,3722294.0,03-JUL-19,27-Nov-2019 00:00:00,6.59,565.25,565.3,565.35,565.4,565.45,678.0,242.0,388.0,896.0,1015.0,EQ,,UPL,352179.0,239669.0,7485.12,1334532.0,7.5
,12.5,561.1,551.85,,,564.6,564.55,564.5,564.45,564.4,113.0,514.0,110.0,130.0,912.0,13.05,0.0,05-JUL-19,24-DEC-18,30356.72,UPL Limited,Listed,0,0,0,565.5,554.05,1901743.0,51.09,02-JUL-19,5.0,2.0,709.05,,False,INE628A01036,564.9,480.67,N,,,554.8,2.36,551.85,No Band,496.7,607.0,BONUS 1:2,3722294.0,03-JUL-19,27-Nov-2019 00:00:00,6.59,564.8,564.9,564.95,565.0,565.05,10.0,90.0,795.0,1908.0,634.0,EQ,,UPL,349513.0,269311.0,7911.43,1409985.0,7.5
