adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.91,147.15,145.1,10-JUL-19,06-JUL-19,,,,,,,,,,,1.3,146.95,17-DEC-18,22-AUG-19,26765.86,Vedanta Limited,Listed,0,0,0,148.8,144.65,2225577.0,24.94,04-JUL-19,5.0,1.0,213.3,,False,INE205A01025,146.4,125.3,N,,,145.0,0.9,145.1,No Band,130.6,159.6,ANNUAL GENERAL MEETING,8923473.0,,27-Nov-2019 00:00:00,7.91,146.95,,,,,20025.0,,,,,EQ,,VEDL,,20025.0,13130.89,8923473.0,7.91
,12.91,147.15,145.1,10-JUL-19,06-JUL-19,,,,,,,,,,,1.3,146.95,17-DEC-18,22-AUG-19,26765.86,Vedanta Limited,Listed,0,0,0,148.8,144.65,2225577.0,24.94,04-JUL-19,5.0,1.0,213.3,,False,INE205A01025,146.4,125.3,N,,,145.0,0.9,145.1,No Band,130.6,159.6,ANNUAL GENERAL MEETING,8923473.0,,27-Nov-2019 00:00:00,7.91,146.95,,,,,20025.0,,,,,EQ,,VEDL,,20025.0,13130.89,8923473.0,7.91
,12.91,147.15,145.1,10-JUL-19,06-JUL-19,,,,,,,,,,,1.3,146.95,17-DEC-18,22-AUG-19,26765.86,Vedanta Limited,Listed,0,0,0,148.8,144.65,2225577.0,24.94,04-JUL-19,5.0,1.0,213.3,,False,INE205A01025,146.4,125.3,N,,,145.0,0.9,145.1,No Band,132.3,161.6,ANNUAL GENERAL MEETING,8923473.0,,27-Nov-2019 00:00:00,7.91,146.95,,,,,20025.0,,,,,EQ,,VEDL,,20025.0,13130.89,8923473.0,7.91
,12.91,147.15,145.1,10-JUL-19,06-JUL-19,,,,,,,,,,,1.3,146.95,17-DEC-18,22-AUG-19,26765.86,Vedanta Limited,Listed,0,0,0,148.8,144.65,2225577.0,24.94,04-JUL-19,5.0,1.0,213.3,,False,INE205A01025,146.4,125.3,N,,,145.0,0.9,145.1,No Band,132.3,161.6,ANNUAL GENERAL MEETING,8923473.0,,27-Nov-2019 00:00:00,7.91,146.95,,,,,20025.0,,,,,EQ,,VEDL,,20025.0,13130.89,8923473.0,7.91
,12.91,147.15,145.1,10-JUL-19,06-JUL-19,,,,,,,,,,,1.3,146.95,17-DEC-18,22-AUG-19,26765.86,Vedanta Limited,Listed,0,0,0,148.8,144.65,2225577.0,24.94,04-JUL-19,5.0,1.0,213.3,,False,INE205A01025,146.4,125.3,N,,,145.0,0.9,145.1,No Band,132.3,161.6,ANNUAL GENERAL MEETING,8923473.0,,27-Nov-2019 00:00:00,7.91,146.95,,,,,20025.0,,,,,EQ,,VEDL,,20025.0,13130.89,8923473.0,7.91
,12.91,147.15,145.1,10-JUL-19,06-JUL-19,,,,,,,,,,,1.3,146.95,17-DEC-18,22-AUG-19,26765.86,Vedanta Limited,Listed,0,0,0,148.8,144.65,2225577.0,24.94,04-JUL-19,5.0,1.0,213.3,,False,INE205A01025,146.4,125.3,N,,,145.0,0.9,145.1,No Band,132.3,161.6,ANNUAL GENERAL MEETING,8923473.0,,27-Nov-2019 00:00:00,7.91,146.95,,,,,20025.0,,,,,EQ,,VEDL,,20025.0,13130.89,8923473.0,7.91
,12.91,147.15,145.1,10-JUL-19,06-JUL-19,,,,,,,,,,,1.3,146.95,17-DEC-18,22-AUG-19,26765.86,Vedanta Limited,Listed,0,0,0,148.8,144.65,2225577.0,24.94,04-JUL-19,5.0,1.0,213.3,,False,INE205A01025,146.4,125.3,N,,,145.0,0.9,145.1,No Band,132.3,161.6,ANNUAL GENERAL MEETING,8923473.0,,27-Nov-2019 00:00:00,7.91,146.95,,,,,20025.0,,,,,EQ,,VEDL,,20025.0,13130.89,8923473.0,7.91
,12.91,147.15,146.95,10-JUL-19,06-JUL-19,,,,,,,,,,,-0.55,146.95,17-DEC-18,22-AUG-19,26765.86,Vedanta Limited,Listed,0,0,0,148.8,144.65,2225577.0,24.94,04-JUL-19,5.0,1.0,213.3,,False,INE205A01025,146.4,125.3,N,,,145.0,-0.37,145.1,No Band,132.3,161.6,ANNUAL GENERAL MEETING,8923473.0,,27-Nov-2019 00:00:00,7.91,146.95,,,,,20025.0,,,,,EQ,,VEDL,,20025.0,13130.89,8923473.0,7.91
,12.91,147.15,146.95,10-JUL-19,06-JUL-19,,,,,,,,,,,-0.55,146.95,17-DEC-18,22-AUG-19,26765.86,Vedanta Limited,Listed,0,0,0,148.8,144.65,2225577.0,24.94,04-JUL-19,5.0,1.0,213.3,,False,INE205A01025,146.4,125.3,N,,,145.0,-0.37,145.1,No Band,132.3,161.6,ANNUAL GENERAL MEETING,8923473.0,,27-Nov-2019 00:00:00,7.91,146.95,,,,,20025.0,,,,,EQ,,VEDL,,20025.0,13130.89,8923473.0,7.91
,12.91,146.21,146.95,10-JUL-19,06-JUL-19,145.7,145.65,145.6,145.55,145.5,1226.0,2523.0,6035.0,3572.0,12603.0,-1.25,0.0,17-DEC-18,22-AUG-19,26765.86,Vedanta Limited,Listed,0,0,0,146.7,145.7,2225577.0,24.94,04-JUL-19,5.0,1.0,213.3,,False,INE205A01025,145.7,125.3,N,,,146.7,-0.85,146.95,No Band,132.3,161.6,ANNUAL GENERAL MEETING,8923473.0,,27-Nov-2019 00:00:00,7.91,145.8,145.85,145.9,145.95,146.0,476.0,2206.0,5224.0,6349.0,10659.0,EQ,,VEDL,432481.0,539448.0,281.62,192614.0,7.91
