adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,696.82,700.85,09-AUG-19,19-JUL-19,701.4,,,,,2768.0,,,,,5.1,701.4,29-OCT-19,14-FEB-19,16245.78,Voltas Limited,Listed,0,0,0,705.95,692.65,1132172.0,65.58,17-JUL-19,5.0,1.0,725.4,,False,INE226A01021,705.95,501.05,N,,,701.95,0.73,700.85,No Band,630.8,770.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 4 PER SHARE,1726476.0,,27-Nov-2019 00:00:00,4.83,,,,,,,,,,,EQ,,VOLTAS,2768.0,,12030.43,1726476.0,7.5
,12.5,696.82,700.85,09-AUG-19,19-JUL-19,701.4,,,,,2768.0,,,,,5.1,701.4,29-OCT-19,14-FEB-19,16245.78,Voltas Limited,Listed,0,0,0,705.95,692.65,1132172.0,65.58,17-JUL-19,5.0,1.0,725.4,,False,INE226A01021,705.95,501.05,N,,,701.95,0.73,700.85,No Band,631.3,771.5,ANNUAL GENERAL MEETING/ DIVIDEND - RS 4 PER SHARE,1726476.0,,27-Nov-2019 00:00:00,4.83,,,,,,,,,,,EQ,,VOLTAS,2768.0,,12030.43,1726476.0,7.5
,12.5,696.82,700.85,09-AUG-19,19-JUL-19,701.4,,,,,2768.0,,,,,5.1,701.4,29-OCT-19,14-FEB-19,16245.78,Voltas Limited,Listed,0,0,0,705.95,692.65,1132172.0,65.58,17-JUL-19,5.0,1.0,725.4,,False,INE226A01021,705.95,501.05,N,,,701.95,0.73,700.85,No Band,631.3,771.5,ANNUAL GENERAL MEETING/ DIVIDEND - RS 4 PER SHARE,1726476.0,,27-Nov-2019 00:00:00,4.83,,,,,,,,,,,EQ,,VOLTAS,2768.0,,12030.43,1726476.0,7.5
,12.5,696.82,700.85,09-AUG-19,19-JUL-19,701.4,,,,,2768.0,,,,,5.1,701.4,29-OCT-19,14-FEB-19,16245.78,Voltas Limited,Listed,0,0,0,705.95,692.65,1132172.0,65.58,17-JUL-19,5.0,1.0,725.4,,False,INE226A01021,705.95,501.05,N,,,701.95,0.73,700.85,No Band,631.3,771.5,ANNUAL GENERAL MEETING/ DIVIDEND - RS 4 PER SHARE,1726476.0,,27-Nov-2019 00:00:00,4.83,,,,,,,,,,,EQ,,VOLTAS,2768.0,,12030.43,1726476.0,7.5
,12.5,696.82,700.85,09-AUG-19,19-JUL-19,701.4,,,,,2768.0,,,,,5.1,701.4,29-OCT-19,14-FEB-19,16245.78,Voltas Limited,Listed,0,0,0,705.95,692.65,1132172.0,65.58,17-JUL-19,5.0,1.0,725.4,,False,INE226A01021,705.95,501.05,N,,,701.95,0.73,700.85,No Band,631.3,771.5,ANNUAL GENERAL MEETING/ DIVIDEND - RS 4 PER SHARE,1726476.0,,27-Nov-2019 00:00:00,4.83,,,,,,,,,,,EQ,,VOLTAS,2768.0,,12030.43,1726476.0,7.5
,12.5,696.82,700.85,09-AUG-19,19-JUL-19,701.4,,,,,2768.0,,,,,5.1,701.4,29-OCT-19,14-FEB-19,16245.78,Voltas Limited,Listed,0,0,0,705.95,692.65,1132172.0,65.58,17-JUL-19,5.0,1.0,725.4,,False,INE226A01021,705.95,501.05,N,,,701.95,0.73,700.85,No Band,631.3,771.5,ANNUAL GENERAL MEETING/ DIVIDEND - RS 4 PER SHARE,1726476.0,,27-Nov-2019 00:00:00,4.83,,,,,,,,,,,EQ,,VOLTAS,2768.0,,12030.43,1726476.0,7.5
,12.5,696.82,701.4,09-AUG-19,19-JUL-19,701.4,,,,,2768.0,,,,,4.55,701.4,29-OCT-19,14-FEB-19,16245.78,Voltas Limited,Listed,0,0,0,705.95,692.65,1132172.0,65.58,17-JUL-19,5.0,1.0,725.4,,False,INE226A01021,705.95,501.05,N,,,701.95,0.65,700.85,No Band,631.3,771.5,ANNUAL GENERAL MEETING/ DIVIDEND - RS 4 PER SHARE,1726476.0,,27-Nov-2019 00:00:00,4.83,,,,,,,,,,,EQ,,VOLTAS,2768.0,,12030.43,1726476.0,7.5
,12.5,696.82,701.4,09-AUG-19,19-JUL-19,701.4,,,,,2768.0,,,,,4.55,701.4,29-OCT-19,14-FEB-19,16245.78,Voltas Limited,Listed,0,0,0,705.95,692.65,1132172.0,65.58,17-JUL-19,5.0,1.0,725.4,,False,INE226A01021,705.95,501.05,N,,,701.95,0.65,700.85,No Band,631.3,771.5,ANNUAL GENERAL MEETING/ DIVIDEND - RS 4 PER SHARE,1726476.0,,27-Nov-2019 00:00:00,4.83,,,,,,,,,,,EQ,,VOLTAS,2768.0,,12030.43,1726476.0,7.5
,12.5,704.56,701.4,09-AUG-19,19-JUL-19,704.2,704.15,704.1,704.0,703.95,78.0,42.0,991.0,121.0,207.0,2.75,0.0,29-OCT-19,14-FEB-19,16245.78,Voltas Limited,Listed,0,0,0,706.5,702.3,1132172.0,65.58,17-JUL-19,5.0,1.0,725.4,,False,INE226A01021,704.15,501.05,N,,,704.9,0.39,701.4,No Band,631.3,771.5,ANNUAL GENERAL MEETING/ DIVIDEND - RS 4 PER SHARE,1726476.0,,27-Nov-2019 00:00:00,4.83,704.45,704.5,704.65,704.7,704.75,6.0,155.0,28.0,25.0,70.0,EQ,,VOLTAS,113939.0,96161.0,114.6,16265.0,7.5
,12.5,704.57,701.4,09-AUG-19,19-JUL-19,703.7,703.65,703.6,703.55,703.5,25.0,175.0,160.0,132.0,122.0,2.5,0.0,29-OCT-19,14-FEB-19,16245.78,Voltas Limited,Listed,0,0,0,706.5,702.3,1132172.0,65.58,17-JUL-19,5.0,1.0,725.4,,False,INE226A01021,703.9,501.05,N,,,704.9,0.36,701.4,No Band,631.3,771.5,ANNUAL GENERAL MEETING/ DIVIDEND - RS 4 PER SHARE,1726476.0,,27-Nov-2019 00:00:00,4.83,704.15,704.25,704.3,704.35,704.4,94.0,8.0,71.0,240.0,243.0,EQ,,VOLTAS,114985.0,100186.0,140.58,19952.0,7.5
