adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,239.95,237.55,,,240.05,,,,,2158.0,,,,,2.8,240.05,14-JUN-19,26-NOV-18,35652.07,Wipro Limited,Listed,0,0,0,240.9,238.05,915039.0,46.99,20-JUN-19,5.0,2.0,301.6,,False,INE075A01022,240.35,226.99,N,,,239.0,1.18,237.55,No Band,213.8,261.3,BUYBACK,1947247.0,21-JUN-19,27-Nov-2019 00:00:00,4.05,,,,,,,,,,,EQ,,WIPRO,2158.0,,4672.42,1947247.0,7.5
,12.5,239.95,237.55,,,240.05,,,,,2158.0,,,,,2.8,240.05,14-JUN-19,26-NOV-18,35652.07,Wipro Limited,Listed,0,0,0,240.9,238.05,915039.0,46.99,20-JUN-19,5.0,2.0,301.6,,False,INE075A01022,240.35,226.99,N,,,239.0,1.18,237.55,No Band,213.8,261.3,BUYBACK,1947247.0,21-JUN-19,27-Nov-2019 00:00:00,4.05,,,,,,,,,,,EQ,,WIPRO,2158.0,,4672.42,1947247.0,7.5
,12.5,239.95,237.55,,,240.05,,,,,2158.0,,,,,2.8,240.05,14-JUN-19,26-NOV-18,35652.07,Wipro Limited,Listed,0,0,0,240.9,238.05,915039.0,46.99,20-JUN-19,5.0,2.0,301.6,,False,INE075A01022,240.35,226.99,N,,,239.0,1.18,237.55,No Band,216.05,264.05,BUYBACK,1947247.0,21-JUN-19,27-Nov-2019 00:00:00,4.05,,,,,,,,,,,EQ,,WIPRO,2158.0,,4672.42,1947247.0,7.5
,12.5,239.95,237.55,,,240.05,,,,,2158.0,,,,,2.8,240.05,14-JUN-19,28-NOV-18,35652.07,Wipro Limited,Listed,0,0,0,240.9,238.05,915039.0,46.99,20-JUN-19,5.0,2.0,301.6,,False,INE075A01022,240.35,231.94,N,,,239.0,1.18,237.55,No Band,216.05,264.05,BUYBACK,1947247.0,21-JUN-19,27-Nov-2019 00:00:00,4.05,,,,,,,,,,,EQ,,WIPRO,2158.0,,4672.42,1947247.0,7.5
,12.5,239.95,237.55,,,240.05,,,,,2158.0,,,,,2.8,240.05,14-JUN-19,28-NOV-18,35652.07,Wipro Limited,Listed,0,0,0,240.9,238.05,915039.0,46.99,20-JUN-19,5.0,2.0,301.6,,False,INE075A01022,240.35,231.94,N,,,239.0,1.18,237.55,No Band,216.05,264.05,BUYBACK,1947247.0,21-JUN-19,27-Nov-2019 00:00:00,4.05,,,,,,,,,,,EQ,,WIPRO,2158.0,,4672.42,1947247.0,7.5
,12.5,239.95,237.55,,,240.05,,,,,2158.0,,,,,2.8,240.05,14-JUN-19,28-NOV-18,35652.07,Wipro Limited,Listed,0,0,0,240.9,238.05,915039.0,46.99,20-JUN-19,5.0,2.0,301.6,,False,INE075A01022,240.35,231.94,N,,,239.0,1.18,237.55,No Band,216.05,264.05,BUYBACK,1947247.0,21-JUN-19,27-Nov-2019 00:00:00,4.05,,,,,,,,,,,EQ,,WIPRO,2158.0,,4672.42,1947247.0,7.5
,12.5,239.95,237.55,,,240.05,,,,,2158.0,,,,,2.8,240.05,14-JUN-19,28-NOV-18,35652.07,Wipro Limited,Listed,0,0,0,240.9,238.05,915039.0,46.99,20-JUN-19,5.0,2.0,301.6,,False,INE075A01022,240.35,231.94,N,,,239.0,1.18,237.55,No Band,216.05,264.05,BUYBACK,1947247.0,21-JUN-19,27-Nov-2019 00:00:00,4.05,,,,,,,,,,,EQ,,WIPRO,2158.0,,4672.42,1947247.0,7.5
,12.5,239.95,237.55,,,240.05,,,,,2158.0,,,,,2.8,240.05,14-JUN-19,28-NOV-18,35652.07,Wipro Limited,Listed,0,0,0,240.9,238.05,915039.0,46.99,20-JUN-19,5.0,2.0,301.6,,False,INE075A01022,240.35,231.94,N,,,239.0,1.18,237.55,No Band,216.05,264.05,BUYBACK,1947247.0,21-JUN-19,27-Nov-2019 00:00:00,4.05,,,,,,,,,,,EQ,,WIPRO,2158.0,,4672.42,1947247.0,7.5
,12.5,239.51,240.05,,,239.1,239.05,239.0,238.95,238.9,150.0,487.0,566.0,430.0,3486.0,-0.90,0.0,14-JUN-19,28-NOV-18,35652.07,Wipro Limited,Listed,0,0,0,240.4,238.6,915039.0,46.99,20-JUN-19,5.0,2.0,301.6,,False,INE075A01022,239.15,231.94,N,,,239.95,-0.37,240.05,No Band,216.05,264.05,BUYBACK,1947247.0,21-JUN-19,27-Nov-2019 00:00:00,4.05,239.15,239.2,239.25,239.3,239.35,125.0,276.0,40.0,794.0,2197.0,EQ,,WIPRO,348257.0,319962.0,123.63,51618.0,7.5
,12.5,239.41,240.05,,,238.85,238.8,238.75,238.7,238.65,4585.0,6134.0,2793.0,2310.0,2375.0,-1.20,0.0,14-JUN-19,28-NOV-18,35652.07,Wipro Limited,Listed,0,0,0,240.4,238.6,915039.0,46.99,20-JUN-19,5.0,2.0,301.6,,False,INE075A01022,238.85,231.94,N,,,239.95,-0.50,240.05,No Band,216.05,264.05,BUYBACK,1947247.0,21-JUN-19,27-Nov-2019 00:00:00,4.05,239.0,239.05,239.1,239.15,239.2,805.0,209.0,314.0,200.0,1292.0,EQ,,WIPRO,360698.0,335057.0,161.56,67481.0,7.5
